Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,41083,14,2,54,3.943,0.003%,130.693,1185.287,19.974,9381.559
Login,41082,31,6,70,5.913,0.005%,130.693,1365.679,135.82,10809.574
List Products,41080,39,6,106,6.899,0.015%,130.693,15361.855,102.863,121626.762
Look at Product,41074,75,8,138,10.841,0.036%,130.693,14668.823,100.866,116148.248
Add Product to Cart,41059,77,5,140,9.856,0.036%,130.693,3618.031,230.694,28657.297
List Products with different page,41045,39,7,91,6.899,0.008%,130.693,15340.452,118.842,121536.707
Add Product 2 to Cart,41042,81,7,135,9.856,0.023%,130.693,3705.679,262.652,29360.914
Logout,41032,20,4,76,4.928,0.003%,130.693,1412.561,241.679,11192.556
TOTAL,328498,47,2,140,25.625,0.016%,1045.545,56648.178,1213.391,56091.429
