Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,70,927,902,1204,67.26,0.000%,.26369,2.35,0.04,9118.0
List Products,70,2860,2307,3305,205.10,0.000%,.26201,29.48,0.04,115230.0
Look at Product,70,4584,3916,5618,466.48,0.000%,.26103,28.39,0.04,111379.9
Login,70,1642,1608,1908,63.58,0.000%,.26476,2.57,0.11,9921.1
Add Product to Cart,70,1819,1805,2010,42.92,0.000%,.26456,2.73,0.11,10583.6
Add n Products to Cart,1050,1803,235,2021,106.39,0.857%,3.64080,37.42,1.45,10525.0
Logout,61,1190,124,1304,138.72,1.639%,.23346,2.31,0.09,10126.9
Checkout 1,60,1210,1203,1300,21.33,0.000%,.27208,2.75,0.17,10366.0
Checkout 5,60,1208,1203,1304,18.25,0.000%,.27208,2.75,0.20,10366.0
Checkout 15,60,1204,1203,1216,1.60,0.000%,.27208,2.75,0.27,10366.0
TOTAL,1641,1835,124,5618,694.79,0.609%,5.43891,101.86,2.22,19178.0
