Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,1998,2,2,16,0.762,0.000%,6.471,66.271,3.138,10178.569
Login Action,1995,9,8,23,1.098,0.000%,6.465,68.428,12.247,10519.729
Homepage [0],1995,3,2,11,0.613,0.000%,6.465,62.8,6.997,9654.389
Browse (Green tea),1993,7,6,19,0.99,0.000%,6.47,685.597,7.139,105322.591
Add to cart (Green tea),1991,14,11,28,1.464,0.000%,6.471,201.133,16.634,30891.199
View cart (Green tea),1991,11,9,22,1.237,0.000%,6.471,194.659,7.982,29895.685
Browse (Herbal tea),1981,8,6,22,1.187,0.000%,6.45,982.68,7.951,151430.042
Add to cart (Herbal tea),1977,15,12,28,1.504,0.000%,6.44,204.613,18.137,31577.898
View cart (Herbal tea),1977,12,10,23,1.316,0.000%,6.44,197.397,8.713,30464.749
Browse (White tea),1970,8,6,22,1.138,0.000%,6.427,729.038,8.693,112735.655
Add to cart (White tea),1967,15,13,28,1.524,0.000%,6.435,208.888,19.64,32262.706
View cart (White tea),1967,13,10,26,1.296,0.000%,6.435,200.929,9.454,31033.316
"Browse (Black tea, 1) [0]",1967,8,6,21,1.118,0.000%,6.438,635.775,9.464,98148.677
"Browse (Black tea, 2)",1967,8,6,19,1.009,0.000%,6.434,663.683,9.596,102526.93
"Browse (Black tea, 3)",1964,8,6,22,0.999,0.000%,6.425,673.21,9.576,104141.668
"Browse (Black tea, 1) [1]",1963,8,6,24,1.237,0.000%,6.429,634.818,9.586,98145.095
Add to cart (Black tea),1963,16,13,31,1.455,0.000%,6.426,213,21.102,32942.836
View cart (Black tea),1963,13,11,27,1.366,0.000%,6.426,204.308,10.185,31598.2
Checkout,1953,8,6,20,1.049,0.000%,6.438,91.777,22.128,14167.991
Order,1953,3,2,11,0.604,0.000%,6.438,83.472,10.074,12885.556
Add order details,1952,24,20,40,2.315,0.000%,6.452,68.408,19.406,10538.638
Homepage [1],1952,3,2,12,0.693,0.000%,6.452,62.749,7.027,9666.63
Logout,1948,4,3,18,0.871,0.000%,6.445,70.637,15.192,10892.935
Homepage [2],1948,3,2,12,0.683,0.000%,6.445,61.222,6.885,9441.513
TOTAL,1998,2,2,16,5.274,0.000%,153.123,7203.336,273.89,46755.337
