Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,1962,2,2,16,0.77,0.000%,6.51914,65.11,3.09,10227.5
Login Action,1959,9,8,23,1.11,0.000%,6.51259,67.23,12.06,10570.3
Homepage [0],1959,3,2,11,0.62,0.000%,6.51289,61.70,6.89,9700.8
Browse (Green tea),1957,7,6,19,1.00,0.000%,6.51766,673.59,7.03,105828.9
Add to cart (Green tea),1955,14,11,28,1.48,0.000%,6.51912,197.61,16.38,31039.7
View cart (Green tea),1955,11,9,22,1.25,0.000%,6.51938,191.25,7.86,30039.4
Browse (Herbal tea),1945,8,6,22,1.20,0.000%,6.49743,965.47,7.83,152158.0
Add to cart (Herbal tea),1941,15,12,28,1.52,0.000%,6.48767,201.03,17.86,31729.7
View cart (Herbal tea),1941,12,10,23,1.33,0.000%,6.48771,193.94,8.58,30611.2
Browse (White tea),1934,8,6,22,1.15,0.000%,6.47485,716.27,8.56,113277.6
Add to cart (White tea),1931,15,13,28,1.54,0.000%,6.48274,205.23,19.34,32417.8
View cart (White tea),1931,13,10,26,1.31,0.000%,6.48278,197.41,9.31,31182.5
"Browse (Black tea, 1) [0]",1931,8,6,21,1.13,0.000%,6.48581,624.64,9.32,98620.5
"Browse (Black tea, 2)",1931,8,6,19,1.02,0.000%,6.48134,652.06,9.45,103019.8
"Browse (Black tea, 3)",1928,8,6,22,1.01,0.000%,6.47247,661.42,9.43,104642.3
"Browse (Black tea, 1) [1]",1927,8,6,24,1.25,0.000%,6.47631,623.70,9.44,98616.9
Add to cart (Black tea),1927,16,13,31,1.47,0.000%,6.47389,209.27,20.78,33101.2
View cart (Black tea),1927,13,11,27,1.38,0.000%,6.47394,200.73,10.03,31750.1
Checkout,1917,8,6,20,1.06,0.000%,6.48595,90.17,21.79,14236.1
Order,1917,3,2,11,0.61,0.000%,6.48608,82.01,9.92,12947.5
Add order details,1916,24,20,40,2.34,0.000%,6.49930,67.21,19.11,10589.3
Homepage [1],1916,3,2,12,0.70,0.000%,6.49981,61.65,6.92,9713.1
Logout,1912,4,3,18,0.88,0.000%,6.49282,69.40,14.96,10945.3
Homepage [2],1912,3,2,12,0.69,0.000%,6.49284,60.15,6.78,9486.9
TOTAL,46431,9,2,40,5.33,0.000%,154.25735,7077.18,269.71,46980.1
