Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,28148,4,2,15,1.039,0.000%,94.974,825.028,14.041,9085.402
Login,28148,11,8,24,1.375,0.000%,94.973,950.562,95.627,10467.89
List Products,28148,11,5,54,1.884,0.025%,94.976,10685.281,72.059,117666.161
Look at Product,28141,18,12,378,3.045,0.000%,94.979,10125.438,70.938,111497.354
Add Product to Cart,28141,19,13,34,2.251,0.000%,95.094,2501.791,162.622,27515.372
List Products with different page,28141,11,7,57,2.088,0.011%,95.099,10693.212,83.859,117600.899
Add Product 2 to Cart,28138,20,14,38,2.281,0.000%,95.115,2564.041,185.243,28193.742
Logout,28138,6,4,20,1.395,0.000%,95.119,985.8,170.662,10839.26
TOTAL,225142,13,2,378,5.988,0.004%,759.609,39298.555,853.951,54108.359
