Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,28078,4,2,15,1.02,0.000%,93.47867,837.49,13.78,9174.2
Login,28078,11,8,24,1.35,0.000%,93.47804,964.92,93.85,10570.2
List Products,28078,11,5,55,1.85,0.025%,93.48053,10846.68,70.72,118816.2
Look at Product,28071,18,12,384,2.99,0.000%,93.48368,10278.38,69.62,112587.1
Add Product to Cart,28071,19,13,35,2.21,0.000%,93.59714,2539.58,159.60,27784.3
List Products with different page,28071,11,7,58,2.05,0.011%,93.60182,10854.73,82.30,118750.3
Add Product 2 to Cart,28068,20,14,39,2.24,0.000%,93.61773,2602.77,181.80,28469.3
Logout,28068,6,4,20,1.37,0.000%,93.62148,1000.69,167.49,10945.2
TOTAL,224583,13,2,384,5.88,0.004%,747.65052,39892.15,838.08,54637.2
