Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Homepage [0],69878,2,0,42,1.42,0.001%,170.68685,1519.83,81.01,9117.9
Browse (Green tea),69786,6,2,58,3.47,0.000%,170.51335,17530.07,84.42,105275.0
Browse (Herbal tea),69655,6,2,64,3.63,0.000%,170.30021,25213.74,84.98,151608.0
Browse (White tea),69552,6,2,57,3.46,0.004%,170.19319,18731.60,84.93,112702.3
"Browse (Black tea, 1) [0]",69514,6,1,54,3.50,0.001%,170.23600,16298.71,84.95,98039.6
"Browse (Black tea, 2)",69491,6,2,61,3.45,0.001%,170.20385,17027.46,88.59,102442.6
"Browse (Black tea, 3)",69420,6,2,55,3.51,0.000%,170.14789,17292.11,88.56,104069.0
"Browse (Black tea, 1) [1]",69384,6,2,57,3.48,0.003%,170.05799,16281.43,88.51,98038.3
Homepage [1],69381,2,0,26,1.50,0.000%,170.06606,1514.32,80.71,9118.0
Homepage [2],69380,2,0,29,1.41,0.001%,170.06319,1513.81,79.88,9115.1
TOTAL,695441,4,0,64,3.54,0.001%,1698.66269,132644.21,844.66,79961.5
