Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,200,34547,3053,55752,8936.55,100.000%,3.53188,11.43,1.50,3314.2
Login Action,200,24006,2737,27075,2515.08,100.000%,2.70168,8.41,1.54,3189.2
Homepage [0],200,24761,20000,31073,3984.57,100.000%,2.19084,6.25,0.64,2922.2
Browse (Green tea),200,25380,20000,31075,4813.92,100.000%,2.22390,9.64,0.63,4440.4
Add to cart (Green tea),200,22935,20000,45429,4165.92,100.000%,1.90138,4.88,0.49,2630.5
View cart (Green tea),200,25328,20000,55651,7693.41,100.000%,1.82028,4.52,0.31,2540.3
Browse (Herbal tea),200,23959,20000,40568,5005.67,100.000%,1.66878,5.96,0.32,3656.5
Add to cart (Herbal tea),200,22535,20000,26045,2521.48,100.000%,1.66556,4.47,0.52,2748.6
View cart (Herbal tea),200,28457,20000,55567,7883.42,100.000%,1.53741,4.24,0.42,2825.0
Browse (White tea),200,25726,20000,50685,6145.85,100.000%,1.48552,6.06,0.38,4175.6
Add to cart (White tea),198,21438,4254,45332,3941.71,100.000%,1.73439,4.52,0.40,2668.2
View cart (White tea),168,18035,720,35023,9413.32,100.000%,1.88451,4.78,0.10,2597.7
"Browse (Black tea, 1) [0]",70,11813,156,30017,8646.81,100.000%,1.30143,3.49,0.02,2744.3
"Browse (Black tea, 2)",12,8909,96,20001,7099.36,100.000%,.35954,0.94,0.00,2685.8
"Browse (Black tea, 3)",1,13078,13078,13078,0.00,100.000%,.07646,0.20,0.00,2742.0
TOTAL,2449,24397,96,55752,7530.69,100.000%,8.04087,24.63,2.17,3136.1
