Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,600,9761,902,35684,11111.22,33.333%,1.98985,17.72,0.94,9116.7
Login Action,600,12505,1713,35580,9799.17,22.333%,1.98360,18.77,3.15,9689.4
Homepage [0],600,3687,901,20000,3873.25,0.167%,2.11183,19.64,1.95,9521.3
Browse (Green tea),600,5178,1453,24627,4718.63,2.500%,2.26372,227.89,2.07,103087.6
Add to cart (Green tea),585,5040,1,26987,3305.47,16.068%,2.33746,56.08,4.96,24566.2
View cart (Green tea),491,3785,133,5404,932.74,15.071%,2.00206,46.66,1.99,23863.5
Browse (Herbal tea),415,2872,197,6414,433.16,1.205%,1.72061,252.55,1.99,150301.0
Add to cart (Herbal tea),407,4726,880,6166,614.33,1.720%,1.71190,48.10,4.55,28769.8
View cart (Herbal tea),400,4309,3808,5009,274.03,0.000%,3.12827,86.09,4.02,28182.0
Browse (White tea),400,2780,2405,3853,268.40,0.000%,3.16118,349.46,4.07,113201.0
Add to cart (White tea),400,5086,4516,6326,426.95,0.000%,3.12793,91.29,9.11,29886.6
View cart (White tea),400,4581,4111,5253,235.12,0.000%,3.13482,88.03,4.39,28753.8
"Browse (Black tea, 1) [0]",400,3345,2466,4921,559.26,0.000%,3.17060,305.09,4.44,98535.0
"Browse (Black tea, 2)",400,3662,2570,5427,707.10,0.000%,3.17259,318.93,4.51,102937.9
"Browse (Black tea, 3)",400,3594,2447,5231,795.15,0.000%,3.17839,324.55,4.52,104562.1
"Browse (Black tea, 1) [1]",400,3210,2305,5183,719.34,0.000%,3.19499,307.43,4.54,98532.5
Add to cart (Black tea),400,5395,4713,6473,423.10,0.000%,3.13819,93.69,9.85,30570.6
View cart (Black tea),400,5670,4208,28243,4254.90,3.500%,2.75834,76.90,4.18,28549.3
Checkout,400,4990,1203,25571,6594.48,6.750%,2.69407,33.90,8.86,12886.7
Order,400,3332,902,21871,5119.53,5.250%,2.70561,33.23,4.04,12578.4
Add order details,400,16191,301,40895,11431.63,43.250%,2.35449,19.88,5.05,8647.6
Homepage [1],400,4899,902,22528,4307.35,1.000%,2.31443,21.36,2.05,9452.0
Logout,400,3823,1204,23256,2893.37,0.250%,2.29303,23.72,4.63,10592.9
Homepage [2],400,2799,902,21668,2710.40,0.750%,2.28264,20.99,2.13,9417.7
TOTAL,10698,5390,1,40895,5902.68,7.226%,34.84770,1494.89,54.78,43927.4
