Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,31060,1,1,18,0.64,0.003%,102.90390,916.27,14.37,9117.8
List Products,31059,4,0,48,1.19,0.010%,102.90298,11879.55,16.98,118214.9
Look at Product,31056,7,5,59,2.00,0.000%,102.90565,11508.17,15.75,114516.3
Login,31056,7,6,47,1.14,0.000%,102.91009,996.89,41.62,9919.5
Add Product to Cart,31056,3,2,36,1.06,0.000%,102.91418,1063.68,41.08,10583.6
Add n Products to Cart,465812,3,1,63,1.06,0.001%,1543.62501,15953.29,616.19,10583.0
Logout,31052,2,1,28,0.79,0.000%,102.97156,1030.72,39.02,10250.0
Checkout 1,31052,2,1,24,0.72,0.003%,102.97327,1042.24,62.65,10364.3
Checkout 5,31051,2,1,37,0.74,0.000%,102.97371,1042.41,74.82,10366.0
Checkout 15,31051,2,1,17,0.69,0.003%,102.97575,1042.26,102.97,10364.3
TOTAL,745305,3,0,63,1.74,0.001%,2469.24644,46465.44,1025.02,19269.3
