Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,29340,1,1,5,0.55,0.000%,96.41389,858.50,13.46,9118.0
List Products,29340,5,2,54,2.80,0.003%,96.41484,11113.02,15.91,118028.9
Look at Product,29339,10,5,82,6.82,0.003%,96.41599,11203.72,14.76,118990.7
Login,29338,7,6,13,0.76,0.000%,96.41556,933.98,38.99,9919.5
Add Product to Cart,29338,4,1,62,1.14,0.007%,96.41809,996.49,38.49,10583.1
Add n Products to Cart,439994,4,2,64,1.15,0.001%,1446.05009,14944.80,577.24,10583.0
Logout,29330,2,1,8,0.61,0.000%,96.42032,965.14,36.53,10250.0
Checkout 1,29330,2,1,7,0.58,0.000%,96.41968,975.92,58.66,10364.6
Checkout 5,29330,2,1,7,0.57,0.000%,96.41937,976.06,70.05,10366.0
Checkout 15,29330,2,1,7,0.57,0.000%,96.41968,975.92,96.42,10364.6
TOTAL,704009,4,1,82,2.51,0.001%,2313.42195,43938.82,960.33,19448.8
