Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,150,6372,902,19842,7428.07,23.333%,.49710,4.58,0.24,9433.0
Login Action,150,14274,1731,40111,9867.93,33.333%,.49501,4.51,0.72,9327.1
Homepage [0],150,5923,902,20488,5778.28,8.667%,.52706,4.78,0.45,9285.8
Browse (Green tea),150,8434,75,28681,7028.97,6.000%,.56715,55.07,0.46,99423.8
Add to cart (Green tea),141,5795,1844,26240,3872.34,14.894%,.56629,13.74,1.16,24843.9
View cart (Green tea),121,3759,116,5207,1107.88,12.397%,.49666,11.82,0.50,24359.9
Browse (Herbal tea),106,2919,882,5165,511.82,2.830%,.44341,64.02,0.49,147847.3
Add to cart (Herbal tea),103,4610,455,6138,779.46,2.913%,.43701,12.12,1.13,28399.8
View cart (Herbal tea),100,4283,3808,5019,275.00,0.000%,.80154,22.03,1.01,28148.6
Browse (White tea),100,2802,2406,4127,356.79,0.000%,.80658,89.14,1.02,113173.1
Add to cart (White tea),100,4978,4530,6161,379.36,0.000%,.79911,23.28,2.29,29826.6
View cart (White tea),100,4552,3902,5306,269.97,0.000%,.80078,22.46,1.10,28719.6
"Browse (Black tea, 1) [0]",100,3087,2460,4482,446.59,0.000%,.80549,77.49,1.11,98507.1
"Browse (Black tea, 2)",100,3439,2553,4832,679.66,0.000%,.80570,80.97,1.13,102907.4
"Browse (Black tea, 3)",100,3697,2597,5218,782.38,0.000%,.80933,82.62,1.13,104531.8
"Browse (Black tea, 1) [1]",100,3516,2308,5434,754.48,0.000%,.82077,78.95,1.15,98500.5
Add to cart (Black tea),100,5435,4720,6314,320.00,0.000%,.81331,24.23,2.51,30510.6
View cart (Black tea),100,5232,4210,28038,3317.58,2.000%,.69116,19.47,1.03,28846.6
Checkout,100,3221,1203,23088,4559.81,4.000%,.68056,8.28,2.21,12458.1
Order,100,1814,901,20538,2853.63,2.000%,.68699,8.53,1.01,12708.2
Add order details,100,14592,301,42650,13955.09,62.000%,.59824,4.80,1.23,8208.5
Homepage [1],100,4243,902,21844,4756.43,3.000%,.58188,5.34,0.58,9403.6
Logout,100,3054,1203,21015,2874.63,0.000%,.57877,5.99,1.23,10599.0
Homepage [2],100,2654,902,21666,3440.25,1.000%,.57746,5.31,0.54,9419.9
TOTAL,2671,5379,75,42650,5937.92,8.349%,8.72331,372.57,13.42,43734.5
