Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,50,30010,21439,55678,10305.24,100.000%,.85355,2.30,0.20,2762.5
Login Action,50,23906,20000,25010,2074.11,100.000%,.83001,2.55,0.46,3151.4
Homepage [0],50,23419,20000,31046,4776.88,100.000%,.84554,2.10,0.14,2540.3
Browse (Green tea),50,25623,20000,31068,4236.88,100.000%,.72723,3.46,0.24,4873.7
Add to cart (Green tea),50,22600,20000,40480,3613.58,100.000%,.71590,1.81,0.17,2595.8
View cart (Green tea),50,24206,20000,35024,6744.15,100.000%,.59745,1.43,0.08,2456.9
Browse (Herbal tea),50,24406,20000,30018,4970.69,100.000%,.59435,2.25,0.13,3883.4
Add to cart (Herbal tea),50,22926,20000,45305,4754.64,100.000%,.56630,1.45,0.15,2623.6
View cart (Herbal tea),50,28153,20000,37087,7529.81,100.000%,.48400,1.33,0.13,2818.1
Browse (White tea),50,25055,20000,31048,4984.51,100.000%,.46447,1.84,0.11,4062.0
Add to cart (White tea),49,21309,3010,26026,3843.63,100.000%,.56283,1.45,0.13,2647.0
View cart (White tea),44,23541,1249,35023,8579.99,100.000%,.70916,1.81,0.07,2612.5
"Browse (Black tea, 1) [0]",27,12919,769,30013,7920.40,100.000%,.72487,2.00,0.01,2819.9
"Browse (Black tea, 2)",3,7550,2117,17010,6713.41,100.000%,.17637,0.47,0.00,2742.0
TOTAL,623,24023,769,55678,6968.69,100.000%,2.04232,6.14,0.49,3077.7
