Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,800,2144,1042,3608,433.65,0.000%,2.66396,23.72,0.37,9118.0
List Products,800,4862,3605,7402,704.54,0.000%,2.63296,306.17,0.43,119073.5
Look at Product,800,6962,1246,11910,1659.65,6.000%,2.66754,283.06,0.38,108658.1
Login,752,4368,1,6360,1361.17,20.213%,2.59220,22.21,0.92,8772.3
Add Product to Cart,600,4344,3412,5416,430.52,0.000%,2.97014,30.70,1.19,10583.6
Add n Products to Cart,9000,4047,3110,5518,436.69,0.000%,34.89711,360.68,13.93,10583.6
Logout,600,3188,2669,3912,286.36,0.000%,3.03239,30.35,1.15,10250.0
Checkout 1,600,3157,2602,3810,247.37,0.000%,3.03699,30.74,1.85,10366.0
Checkout 5,600,3141,2602,3871,357.61,0.000%,3.04692,30.84,2.21,10366.0
Checkout 15,600,3232,2607,4546,415.99,0.000%,3.02790,30.65,3.03,10366.0
TOTAL,15152,4034,1,11910,1102.01,1.320%,49.49531,1028.75,19.88,21283.5
