"Time","docker-db-1","docker-persistence-1","docker-image-1","docker-recommender-1","docker-registry-1","docker-auth-1","docker-webui-1"
2025-04-23 20:26:14,0.254%,6.66%,4.95%,1.15%,0.274%,2.56%,12.4%
2025-04-23 20:26:15,0.256%,6.99%,5.27%,1.15%,0.274%,2.66%,12.5%
2025-04-23 20:26:16,0.271%,7.25%,5.54%,1.15%,0.273%,2.73%,13.2%
2025-04-23 20:26:17,0.272%,7.28%,5.57%,1.15%,0.272%,2.74%,13.8%
2025-04-23 20:26:18,0.281%,7.57%,5.80%,1.15%,0.272%,2.82%,14.4%
2025-04-23 20:26:19,0.288%,7.54%,6.00%,1.15%,0.272%,2.89%,14.4%
2025-04-23 20:26:20,0.300%,8.02%,6.03%,1.16%,0.273%,2.90%,14.9%
2025-04-23 20:26:21,0.300%,8.34%,6.35%,1.16%,0.273%,3.01%,15.7%
2025-04-23 20:26:22,0.312%,8.64%,6.38%,1.15%,0.273%,3.02%,16.1%
2025-04-23 20:26:23,0.325%,8.89%,6.63%,1.15%,0.273%,3.14%,16.7%
2025-04-23 20:26:24,0.339%,8.93%,6.90%,1.15%,0.273%,3.13%,16.7%
2025-04-23 20:26:25,0.340%,9.35%,6.94%,1.15%,0.274%,3.25%,17.3%
2025-04-23 20:26:26,0.350%,9.39%,7.22%,1.16%,0.274%,3.31%,18.0%
2025-04-23 20:26:27,0.351%,9.87%,7.26%,1.16%,0.273%,3.32%,18.4%
2025-04-23 20:26:28,0.364%,9.87%,7.54%,1.15%,0.274%,3.42%,18.5%
2025-04-23 20:26:29,0.373%,10.2%,7.55%,1.15%,0.274%,3.51%,19.4%
2025-04-23 20:26:30,0.374%,10.6%,7.88%,1.15%,0.274%,3.51%,19.4%
2025-04-23 20:26:31,0.390%,10.9%,8.09%,1.16%,0.274%,3.59%,20.1%
2025-04-23 20:26:32,0.402%,10.9%,8.09%,1.16%,0.274%,3.61%,20.7%
2025-04-23 20:26:33,0.409%,11.3%,8.36%,1.16%,0.274%,3.69%,20.7%
2025-04-23 20:26:34,0.418%,11.3%,8.54%,1.16%,0.273%,3.75%,21.4%
2025-04-23 20:26:35,0.418%,11.7%,8.59%,1.16%,0.274%,3.76%,21.5%
2025-04-23 20:26:36,0.433%,11.7%,8.87%,1.16%,0.274%,3.83%,22.1%
2025-04-23 20:26:37,0.435%,12.2%,9.03%,1.16%,0.273%,3.94%,22.7%
2025-04-23 20:26:38,0.453%,12.4%,9.21%,1.16%,0.273%,3.99%,23.2%
2025-04-23 20:26:39,0.459%,12.5%,9.25%,1.16%,0.274%,4.00%,23.5%
2025-04-23 20:26:40,0.472%,12.8%,9.45%,1.17%,0.275%,4.06%,23.7%
2025-04-23 20:26:41,0.479%,13.1%,9.68%,1.16%,0.275%,4.15%,24.3%
2025-04-23 20:26:42,0.481%,13.1%,9.73%,1.16%,0.275%,4.19%,24.2%
2025-04-23 20:26:43,0.498%,13.5%,9.94%,1.16%,0.275%,4.21%,25.2%
