Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage [0],10364,3,3,6,7,8,0,44,0.000%,33.89343,301.80,16.09
Browse (Green tea),10357,9,9,16,18,21,2,50,0.010%,33.89670,3484.51,16.78
Browse (Herbal tea),10322,10,10,17,18,21,2,49,0.000%,33.84185,5010.44,16.89
Browse (White tea),10304,9,9,17,18,21,2,50,0.019%,33.83175,3723.00,16.88
"Browse (Black tea, 1) [0]",10292,9,9,16,18,20,2,53,0.000%,33.83389,3239.36,16.88
"Browse (Black tea, 2)",10284,9,9,16,18,20,2,52,0.000%,33.81271,3382.72,17.60
"Browse (Black tea, 3)",10272,9,9,16,18,20,2,54,0.010%,33.83890,3438.72,17.61
"Browse (Black tea, 1) [1]",10264,9,9,16,18,20,2,54,0.000%,33.84800,3240.71,17.62
Homepage [1],10264,3,3,6,7,8,0,36,0.000%,33.84711,301.38,16.06
Homepage [2],10264,3,3,6,7,8,0,41,0.000%,33.84677,301.29,15.90
TOTAL,102987,7,6,16,17,20,0,54,0.004%,336.64574,26289.87,167.39
