Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,20129,4,1,287,6.24,0.000%,64.55699,641.22,30.64,10171.0
Login Action,20101,12,3,466,9.82,0.015%,64.49036,657.93,119.14,10446.9
Homepage [0],20097,4,1,268,6.13,0.000%,64.47980,607.14,68.24,9642.0
Browse (Green tea),20068,9,2,334,10.72,0.010%,64.43741,6657.00,69.50,105789.0
Add to cart (Green tea),20054,17,5,435,15.23,0.010%,64.42059,1620.13,161.89,25752.8
View cart (Green tea),20052,14,4,437,12.86,0.005%,64.42306,1561.39,77.68,24818.1
Browse (Herbal tea),20006,10,3,239,9.46,0.005%,64.40626,9569.61,77.65,152148.0
Add to cart (Herbal tea),19973,18,0,452,16.73,0.020%,64.29795,1660.66,176.94,26447.4
View cart (Herbal tea),19968,15,4,333,13.74,0.000%,64.29013,1594.53,84.99,25397.4
Browse (White tea),19929,9,3,561,11.13,0.010%,64.18482,7098.10,84.84,113242.6
Add to cart (White tea),19903,19,6,352,17.45,0.015%,64.22042,1701.87,191.54,27136.5
View cart (White tea),19899,16,2,350,14.35,0.015%,64.20689,1628.04,92.20,25964.6
"Browse (Black tea, 1) [0]",19886,9,2,317,10.38,0.000%,64.20369,6181.30,92.20,98587.0
"Browse (Black tea, 2)",19876,10,3,420,11.79,0.000%,64.21120,6458.10,93.58,102989.8
"Browse (Black tea, 3)",19854,9,1,362,9.75,0.015%,64.19052,6556.79,93.52,104597.2
"Browse (Black tea, 1) [1]",19844,9,2,433,10.53,0.020%,64.19160,6178.62,93.50,98562.8
Add to cart (Black tea),19834,20,6,391,16.95,0.005%,64.21389,1744.67,206.03,27821.8
View cart (Black tea),19833,16,4,364,14.16,0.005%,64.20878,1663.90,99.49,26535.8
Checkout,19695,11,3,445,10.91,0.000%,63.85069,879.94,214.45,14112.0
Order,19695,4,1,402,6.98,0.000%,63.85048,803.72,97.61,12889.6
Add order details,19671,26,8,541,14.22,0.015%,63.77908,651.75,187.53,10464.1
Homepage [1],19668,4,1,333,7.76,0.005%,63.77163,601.32,67.87,9655.6
Logout,19630,6,2,317,8.15,0.000%,63.85422,674.90,147.10,10823.0
Homepage [2],19630,4,1,308,6.54,0.005%,63.85588,587.96,66.61,9428.6
TOTAL,477295,11,0,561,13.18,0.007%,1530.64039,67588.25,2675.80,45216.6
