Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,3209,207,197,302,360,494,101,540,0.031%,5.39831,53.61,2.56
Login Action,3206,437,418,619,688,776,38,948,0.156%,5.39553,54.99,9.96
Homepage [0],3201,202,195,293,332,487,101,616,0.000%,5.39330,50.78,5.71
Browse (Green tea),3200,602,583,831,904,1005,93,1168,0.094%,5.39273,556.66,5.81
Add to cart (Green tea),3195,217,203,321,383,473,65,595,0.031%,5.38823,135.48,13.54
View cart (Green tea),3194,214,198,309,368,456,104,611,0.000%,5.39253,130.70,6.50
Browse (Herbal tea),3190,578,554,799,876,1005,188,1116,0.094%,5.38534,799.46,6.49
Add to cart (Herbal tea),3186,216,201,312,361,447,106,602,0.000%,5.38291,139.05,14.81
View cart (Herbal tea),3186,213,197,305,369,458,45,596,0.063%,5.38375,133.45,7.11
Browse (White tea),3181,588,564,803,875,993,306,1190,0.000%,5.38203,595.24,7.11
Add to cart (White tea),3179,221,208,313,358,430,106,574,0.000%,5.38478,142.72,16.06
View cart (White tea),3179,217,201,306,366,449,105,579,0.031%,5.38462,136.52,7.73
"Browse (Black tea, 1) [0]",3176,598,579,815,889,997,260,1176,0.094%,5.38156,517.64,7.72
"Browse (Black tea, 2)",3171,598,573,818,883,997,36,1188,0.032%,5.37911,540.83,7.84
"Browse (Black tea, 3)",3165,604,587,807,879,996,147,1176,0.190%,5.37489,548.07,7.81
"Browse (Black tea, 1) [1]",3158,599,580,817,891,988,72,1101,0.158%,5.36827,516.00,7.81
Add to cart (Black tea),3150,219,207,309,358,451,107,524,0.032%,5.36000,145.59,17.19
View cart (Black tea),3149,216,201,312,380,455,103,583,0.064%,5.35999,138.82,8.30
Checkout,3131,221,207,332,377,456,104,580,0.000%,5.35152,73.74,17.97
Order,3131,206,192,311,374,467,101,588,0.032%,5.35267,67.35,8.18
Add order details,3127,3394,3262,4196,4579,5185,607,9316,0.384%,5.34978,54.52,15.67
Homepage [1],3115,248,225,377,396,505,29,673,0.032%,5.35615,50.49,5.70
Logout,3111,220,207,331,374,461,102,560,0.000%,5.35593,56.61,12.34
Homepage [2],3111,218,199,334,390,481,4,601,0.064%,5.35829,49.31,5.58
TOTAL,76001,468,267,730,928,3682,4,9316,0.066%,127.84859,5647.54,223.31
