Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,3209,207,101,540,79.87,0.031%,5.39831,53.61,2.56,10168.5
Login Action,3206,437,38,948,131.14,0.156%,5.39553,54.99,9.96,10436.7
Homepage [0],3201,202,101,616,74.56,0.000%,5.39330,50.78,5.71,9641.8
Browse (Green tea),3200,602,93,1168,162.63,0.094%,5.39273,556.66,5.81,105701.1
Add to cart (Green tea),3195,217,65,595,77.51,0.031%,5.38823,135.48,13.54,25747.9
View cart (Green tea),3194,214,104,611,73.21,0.000%,5.39253,130.70,6.50,24819.2
Browse (Herbal tea),3190,578,188,1116,154.53,0.094%,5.38534,799.46,6.49,152013.4
Add to cart (Herbal tea),3186,216,106,602,71.03,0.000%,5.38291,139.05,14.81,26451.8
View cart (Herbal tea),3186,213,45,596,72.47,0.063%,5.38375,133.45,7.11,25382.5
Browse (White tea),3181,588,306,1190,152.81,0.000%,5.38203,595.24,7.11,113251.3
Add to cart (White tea),3179,221,106,574,67.98,0.000%,5.38478,142.72,16.06,27139.8
View cart (White tea),3179,217,105,579,68.90,0.031%,5.38462,136.52,7.73,25961.9
"Browse (Black tea, 1) [0]",3176,598,260,1176,150.35,0.094%,5.38156,517.64,7.72,98496.0
"Browse (Black tea, 2)",3171,598,36,1188,153.75,0.032%,5.37911,540.83,7.84,102956.6
"Browse (Black tea, 3)",3165,604,147,1176,150.46,0.190%,5.37489,548.07,7.81,104416.3
"Browse (Black tea, 1) [1]",3158,599,72,1101,151.67,0.158%,5.36827,516.00,7.81,98427.0
Add to cart (Black tea),3150,219,107,524,69.69,0.032%,5.36000,145.59,17.19,27815.0
View cart (Black tea),3149,216,103,583,73.11,0.064%,5.35999,138.82,8.30,26520.7
Checkout,3131,221,104,580,76.67,0.000%,5.35152,73.74,17.97,14110.3
Order,3131,206,101,588,79.67,0.032%,5.35267,67.35,8.18,12884.2
Add order details,3127,3394,607,9316,619.12,0.384%,5.34978,54.52,15.67,10435.7
Homepage [1],3115,248,29,673,93.08,0.032%,5.35615,50.49,5.70,9653.0
Logout,3111,220,102,560,78.45,0.000%,5.35593,56.61,12.34,10822.5
Homepage [2],3111,218,4,601,82.67,0.064%,5.35829,49.31,5.58,9424.3
TOTAL,76001,468,4,9316,650.72,0.066%,127.84859,5647.54,223.31,45233.8
