Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,21212,231,203,387,469,641,1,1385,0.066%,66.80166,663.19,31.68
Login Action,21177,385,367,562,648,839,7,1370,0.099%,66.70404,680.13,123.15
Homepage [0],21156,237,206,397,482,667,1,1470,0.052%,66.65784,627.44,70.52
Browse (Green tea),21116,262,231,426,512,692,4,1526,0.090%,66.53307,6868.17,71.71
Add to cart (Green tea),21091,436,415,622,711,906,8,1529,0.175%,66.46875,1669.22,166.82
View cart (Green tea),21054,290,259,458,542,736,6,1313,0.071%,66.37202,1607.65,79.97
Browse (Herbal tea),21001,266,234,434,519,702,6,1584,0.162%,66.20953,9822.31,79.68
Add to cart (Herbal tea),20946,448,425,630,717,908,10,1405,0.181%,66.14791,1706.07,181.82
View cart (Herbal tea),20908,298,266,469,555,729,5,1484,0.100%,66.03750,1636.36,87.21
Browse (White tea),20842,274,241,439,520,715,2,1571,0.106%,65.93254,7284.50,87.05
Add to cart (White tea),20803,455,430,639,726,913,21,1329,0.115%,65.95020,1746.21,196.55
View cart (White tea),20779,304,272,472,561,748,1,1333,0.087%,65.92427,1670.48,94.60
"Browse (Black tea, 1) [0]",20754,274,243,434,518,691,6,1629,0.120%,65.91543,6338.61,94.54
"Browse (Black tea, 2)",20716,273,239,436,522,704,7,1402,0.106%,65.84472,6615.47,95.85
"Browse (Black tea, 3)",20667,270,239,427,510,697,10,1155,0.106%,65.79500,6714.60,95.76
"Browse (Black tea, 1) [1]",20637,272,240,433,516,712,26,1208,0.121%,65.81012,6328.03,95.75
Add to cart (Black tea),20597,453,429,639,725,918,0,1514,0.214%,65.79565,1784.41,210.77
View cart (Black tea),20553,302,270,472,561,732,14,1552,0.078%,65.73847,1702.37,101.78
Checkout,20390,399,375,572,655,850,22,1393,0.118%,65.48627,901.55,219.73
Order,20366,241,208,399,487,663,5,1253,0.049%,65.48553,823.86,100.04
Add order details,20333,424,401,599,683,874,8,1627,0.148%,65.47922,668.55,192.31
Homepage [1],20303,241,208,398,480,658,12,1350,0.059%,65.43803,616.78,69.60
Logout,20250,384,362,553,632,825,10,1622,0.114%,65.46978,691.45,150.64
Homepage [2],20227,240,207,393,477,654,11,1324,0.074%,65.47056,602.58,68.18
TOTAL,497878,319,291,519,603,796,0,1629,0.109%,1567.72467,69262.46,2735.43
