Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,21212,231,1,1385,120.16,0.066%,66.80166,663.19,31.68,10166.0
Login Action,21177,385,7,1370,143.11,0.099%,66.70404,680.13,123.15,10440.9
Homepage [0],21156,237,1,1470,125.31,0.052%,66.65784,627.44,70.52,9638.8
Browse (Green tea),21116,262,4,1526,125.82,0.090%,66.53307,6868.17,71.71,105706.9
Add to cart (Green tea),21091,436,8,1529,150.04,0.175%,66.46875,1669.22,166.82,25715.6
View cart (Green tea),21054,290,6,1313,129.77,0.071%,66.37202,1607.65,79.97,24803.2
Browse (Herbal tea),21001,266,6,1584,125.59,0.162%,66.20953,9822.31,79.68,151912.3
Add to cart (Herbal tea),20946,448,10,1405,143.51,0.181%,66.14791,1706.07,181.82,26410.7
View cart (Herbal tea),20908,298,5,1484,128.24,0.100%,66.03750,1636.36,87.21,25374.0
Browse (White tea),20842,274,2,1571,126.57,0.106%,65.93254,7284.50,87.05,113135.7
Add to cart (White tea),20803,455,21,1329,142.36,0.115%,65.95020,1746.21,196.55,27113.1
View cart (White tea),20779,304,1,1333,129.87,0.087%,65.92427,1670.48,94.60,25947.5
"Browse (Black tea, 1) [0]",20754,274,6,1629,122.22,0.120%,65.91543,6338.61,94.54,98470.7
"Browse (Black tea, 2)",20716,273,7,1402,124.77,0.106%,65.84472,6615.47,95.85,102882.1
"Browse (Black tea, 3)",20667,270,10,1155,121.52,0.106%,65.79500,6714.60,95.76,104502.6
"Browse (Black tea, 1) [1]",20637,272,26,1208,123.01,0.121%,65.81012,6328.03,95.75,98463.7
Add to cart (Black tea),20597,453,0,1514,144.53,0.214%,65.79565,1784.41,210.77,27771.3
View cart (Black tea),20553,302,14,1552,130.56,0.078%,65.73847,1702.37,101.78,26517.7
Checkout,20390,399,22,1393,135.24,0.118%,65.48627,901.55,219.73,14097.4
Order,20366,241,5,1253,120.05,0.049%,65.48553,823.86,100.04,12882.7
Add order details,20333,424,8,1627,137.54,0.148%,65.47922,668.55,192.31,10455.2
Homepage [1],20303,241,12,1350,118.52,0.059%,65.43803,616.78,69.60,9651.7
Logout,20250,384,10,1622,132.95,0.114%,65.46978,691.45,150.64,10814.9
Homepage [2],20227,240,11,1324,117.44,0.074%,65.47056,602.58,68.18,9424.7
TOTAL,497878,319,0,1629,151.60,0.109%,1567.72467,69262.46,2735.43,45240.6
