Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,539,38126,1320,60149,16267.32,100.000%,1.76627,5.24,0.15,3035.3
Login,462,25145,1408,56620,9343.16,100.000%,1.81520,4.95,0.23,2795.0
List Products,415,0,0,0,0.00,100.000%,1.81824,2.18,0.00,1226.0
Look at Product,415,0,0,0,0.00,100.000%,1.81825,2.16,0.00,1214.0
Add Product to Cart,415,23997,1268,51730,8721.11,100.000%,1.80818,7.24,0.22,4102.8
List Products with different page,392,0,0,0,0.00,100.000%,1.88315,2.27,0.00,1235.0
Add Product 2 to Cart,392,23371,1345,41437,7370.27,100.000%,1.87102,8.14,0.27,4454.6
Logout,377,25580,1320,55702,8252.30,100.000%,1.98934,5.34,0.21,2751.2
TOTAL,3407,17884,0,60149,16673.93,100.000%,11.16456,28.51,0.83,2615.2
