Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,48447,113,4,885,76.24,0.052%,160.61785,1429.67,22.42,9114.7
Login,48421,166,14,913,75.89,0.050%,160.55933,1658.43,116.89,10577.0
List Products,48397,127,7,840,77.57,0.033%,160.54256,18617.09,77.83,118746.7
Look at Product,48381,148,16,1112,80.52,0.050%,160.50226,17875.83,75.84,114047.3
Add Product to Cart,48357,197,32,1088,80.44,0.048%,160.44979,4416.96,221.82,28189.3
List Products with different page,48334,127,1,894,76.50,0.056%,160.41925,18608.72,132.92,118784.5
Add Product 2 to Cart,48307,198,2,941,81.84,0.064%,160.43454,4523.10,295.24,28869.4
Logout,48276,163,1,832,75.83,0.060%,160.41150,1699.78,271.49,10850.7
TOTAL,386920,155,1,1112,83.67,0.051%,1282.76365,68771.32,1212.88,54898.5
