Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,30,5029,1003,19777,6033.46,13.333%,.10105,0.96,0.05,9749.3
Login Action,30,13729,1814,22958,7727.10,33.333%,.10036,0.92,0.15,9394.0
Homepage [0],30,7325,1002,20490,7219.95,20.000%,.10030,0.89,0.09,9054.4
Browse (Green tea),30,9591,1775,23338,7172.28,10.000%,.10670,9.95,0.09,95502.0
Add to cart (Green tea),28,5373,308,22419,4286.20,21.429%,.10743,2.43,0.21,23166.4
View cart (Green tea),22,3890,832,5031,798.85,9.091%,.08990,2.22,0.09,25331.5
Browse (Herbal tea),20,3043,2497,4277,405.88,0.000%,.16231,24.11,0.19,152082.0
Add to cart (Herbal tea),20,4650,4311,5231,300.46,0.000%,.16294,4.64,0.43,29163.9
View cart (Herbal tea),20,4248,3811,4695,275.21,0.000%,.16366,4.50,0.21,28161.4
Browse (White tea),20,2822,2422,3724,315.76,0.000%,.16484,18.22,0.21,113163.8
Add to cart (White tea),20,4863,4546,5576,291.73,0.000%,.16142,4.71,0.47,29851.9
View cart (White tea),20,4493,4206,5101,209.65,0.000%,.16204,4.55,0.22,28732.4
"Browse (Black tea, 1) [0]",20,3026,2594,3409,240.43,0.000%,.16349,15.73,0.23,98514.4
"Browse (Black tea, 2)",20,3451,2565,4791,630.89,0.000%,.16288,16.37,0.23,102918.1
"Browse (Black tea, 3)",20,3732,2762,4767,752.92,0.000%,.16391,16.73,0.23,104542.4
"Browse (Black tea, 1) [1]",20,3567,2510,4655,769.94,0.000%,.16609,15.98,0.23,98514.4
Add to cart (Black tea),20,5492,4740,6885,425.57,0.000%,.16539,4.93,0.51,30535.9
View cart (Black tea),20,4699,4265,5317,260.66,0.000%,.16756,4.79,0.25,29300.4
Checkout,20,2334,1204,5603,1145.41,0.000%,.16565,2.09,0.54,12919.6
Order,20,2113,902,20442,4229.77,5.000%,.14499,1.78,0.21,12571.0
Add order details,20,13593,301,34550,12570.31,65.000%,.13510,1.08,0.28,8177.4
Homepage [1],20,5107,902,22222,5516.57,0.000%,.13077,1.21,0.13,9488.2
Logout,20,4536,1220,20589,5441.30,0.000%,.12473,1.29,0.27,10615.0
Homepage [2],20,2489,903,5011,1063.61,0.000%,.12187,1.12,0.11,9431.0
TOTAL,530,5418,301,34550,5607.73,8.491%,1.73639,73.88,2.70,43567.2
