Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,7932,3,2,23,1.148,0.000%,26.373,257.75,12.181,10095.53
Login Action,7925,10,7,43,1.904,0.013%,26.37,266.337,47.498,10432.917
Homepage [0],7924,3,2,20,1.078,0.000%,26.376,244.502,27.166,9575.533
Browse (Green tea),7917,9,6,46,2.266,0.000%,26.377,2667.143,27.691,104453.54
Add to cart (Green tea),7910,16,12,60,3.697,0.013%,26.363,781.788,64.453,30633.75
View cart (Green tea),7909,13,3,49,3.233,0.026%,26.362,756.497,30.919,29643.702
Browse (Herbal tea),7890,9,1,64,2.377,0.013%,26.311,3824.758,30.86,150161.391
Add to cart (Herbal tea),7884,17,12,71,3.918,0.026%,26.295,797.038,70.405,31311.187
View cart (Herbal tea),7882,14,10,63,3.415,0.000%,26.29,768.968,33.821,30214.238
Browse (White tea),7864,9,6,34,2.166,0.000%,26.297,2846.181,33.821,111804.673
Add to cart (White tea),7853,18,13,68,3.929,0.000%,26.303,814.749,76.337,31997.509
View cart (White tea),7853,15,10,58,3.526,0.000%,26.303,783.69,36.752,30777.864
"Browse (Black tea, 1) [0]",7845,9,6,45,2.377,0.013%,26.294,2477.366,36.733,97326.378
"Browse (Black tea, 2)",7838,9,6,44,2.256,0.000%,26.277,2586.558,37.257,101681.208
"Browse (Black tea, 3)",7827,9,6,33,2.297,0.000%,26.261,2625.725,37.238,103283.053
"Browse (Black tea, 1) [1]",7821,9,6,36,2.307,0.000%,26.245,2473.043,37.208,97336.643
Add to cart (Black tea),7815,18,13,67,4.14,0.039%,26.235,829.491,81.893,32660.831
View cart (Black tea),7811,16,11,60,3.526,0.026%,26.223,795.345,39.525,31330.337
Checkout,7756,9,5,41,2.065,0.013%,26.189,356.225,85.567,14050.788
Order,7755,3,2,19,0.997,0.000%,26.189,324.001,38.951,12780.012
Add order details,7748,28,10,86,4.714,0.013%,26.184,264.922,74.901,10451.671
Homepage [1],7747,3,2,21,1.078,0.000%,26.192,243.098,27.116,9587.279
Logout,7730,5,3,25,1.38,0.026%,26.172,273.688,58.659,10802.186
Homepage [2],7728,3,2,20,1.048,0.000%,26.17,237.241,26.571,9364.395
TOTAL,7932,3,2,23,6.709,0.009%,625.584,28108.936,1064.126,46414.802
