Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,39093,14,2,53,3.76,0.003%,130.00838,1164.87,19.17,9175.0
Login,39092,31,6,68,5.41,0.005%,130.00938,1342.21,130.61,10571.7
List Products,39090,40,6,102,6.93,0.015%,130.00878,15101.68,98.37,118946.7
Look at Product,39084,74,8,134,10.61,0.036%,129.99401,14419.85,96.77,113589.3
Add Product to Cart,39070,76,5,136,9.82,0.036%,129.95566,3556.73,221.55,28025.7
List Products with different page,39056,40,7,87,6.80,0.008%,129.91774,15079.94,114.24,118858.7
Add Product 2 to Cart,39053,80,7,131,10.10,0.023%,129.91165,3642.89,252.25,28714.3
Logout,39044,20,4,74,4.52,0.003%,129.88992,1388.45,232.34,10945.9
TOTAL,312582,47,2,136,25.78,0.016%,1039.52484,55687.55,1165.05,54855.9
