Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,664,2304,2,20236,4916.57,1.807%,2.20180,19.45,0.31,9047.7
Login,659,1635,304,2404,105.50,0.303%,2.33243,23.75,2.30,10426.5
List Products,657,2579,0,3123,332.26,1.065%,2.34937,270.10,1.74,117725.0
Look at Product,657,4395,0,5415,619.01,1.674%,2.34534,256.99,1.70,112205.0
Add Product to Cart,653,4124,100,4515,451.64,2.144%,2.33106,62.69,3.89,27540.7
List Products with different page,646,2574,0,3110,382.13,3.715%,2.30690,258.52,1.94,114753.8
Add Product 2 to Cart,629,4378,201,6119,636.22,2.385%,2.24619,61.77,4.27,28158.6
Logout,621,1211,104,1405,81.58,1.127%,2.21921,23.30,3.91,10750.1
TOTAL,5186,2902,0,20236,2146.14,1.774%,17.19656,908.15,18.65,54077.4
