Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,39705,14,2,54,3.736,0.003%,128.035,1174.981,19.276,9178.354
Login,39704,31,6,69,5.375,0.005%,128.036,1353.861,131.331,10575.565
List Products,39702,40,6,103,6.886,0.015%,128.035,15232.768,98.913,118990.186
Look at Product,39696,73,8,136,10.542,0.036%,128.021,14545.019,97.304,113630.827
Add Product to Cart,39682,75,5,138,9.757,0.036%,127.983,3587.604,222.773,28035.946
List Products with different page,39667,40,7,88,6.757,0.008%,127.946,15210.839,114.871,118902.154
Add Product 2 to Cart,39664,79,7,132,10.035,0.023%,127.94,3674.512,253.643,28724.798
Logout,39655,20,4,75,4.491,0.003%,127.918,1400.502,233.623,10949.902
TOTAL,317475,46,2,138,25.615,0.016%,1023.745,56170.937,1171.483,54875.955
