Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,7930,1,1,33,0.83,0.000%,26.31099,261.34,12.49,10171.0
Login Action,7922,7,6,30,0.94,0.000%,26.29291,268.27,48.58,10448.0
Homepage [0],7922,1,1,11,0.56,0.000%,26.29422,247.60,27.83,9642.4
Browse (Green tea),7907,4,3,15,0.84,0.013%,26.26806,2713.68,28.33,105786.7
Add to cart (Green tea),7903,8,2,26,1.22,0.013%,26.26733,733.53,66.01,28595.7
View cart (Green tea),7902,6,4,21,1.04,0.000%,26.27012,709.69,31.68,27663.5
Browse (Herbal tea),7879,4,3,19,0.85,0.000%,26.23456,3898.19,31.63,152155.9
Add to cart (Herbal tea),7868,8,6,36,1.23,0.013%,26.21662,749.78,72.15,29285.8
View cart (Herbal tea),7867,6,4,22,1.01,0.013%,26.21652,722.79,34.66,28231.6
Browse (White tea),7847,4,3,29,0.94,0.000%,26.17691,2895.16,34.60,113254.1
Add to cart (White tea),7837,8,6,35,1.24,0.013%,26.17743,766.24,78.08,29973.7
View cart (White tea),7836,7,5,20,1.05,0.013%,26.17471,736.21,37.59,28801.7
"Browse (Black tea, 1) [0]",7833,4,2,28,0.83,0.000%,26.18681,2521.18,37.61,98587.3
"Browse (Black tea, 2)",7829,4,3,25,0.90,0.000%,26.18255,2633.35,38.16,102990.5
"Browse (Black tea, 3)",7816,4,3,35,1.02,0.026%,26.16357,2672.25,38.12,104587.4
"Browse (Black tea, 1) [1]",7809,4,3,31,0.85,0.013%,26.15546,2517.74,38.11,98571.0
Add to cart (Black tea),7802,8,6,35,1.25,0.000%,26.14515,782.85,83.89,30661.0
View cart (Black tea),7801,7,5,34,1.09,0.000%,26.14697,750.07,40.52,29375.0
Checkout,7754,5,4,30,0.99,0.000%,26.05134,359.03,87.50,14112.4
Order,7754,2,1,12,0.57,0.000%,26.05187,327.92,39.83,12889.4
Add order details,7745,12,9,29,1.56,0.000%,26.03869,266.11,76.57,10465.2
Homepage [1],7745,1,1,25,0.61,0.000%,26.03948,245.54,27.71,9655.9
Logout,7731,2,2,16,0.64,0.000%,26.04653,275.29,60.01,10823.0
Homepage [2],7731,1,1,12,0.56,0.013%,26.04662,239.82,27.17,9428.4
TOTAL,187970,5,1,36,2.83,0.005%,623.57351,28111.80,1090.09,46163.7
