Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,5836,13,14,16,17,18,11,39,0.000%,11.90734,118.27,5.65
Login Action,5831,38,39,49,50,53,26,63,0.000%,11.90705,121.49,22.00
Homepage [0],5831,14,14,17,18,19,11,45,0.000%,11.90802,112.12,12.60
Browse (Green tea),5827,41,42,46,48,50,32,68,0.017%,11.90702,1230.00,12.84
Add to cart (Green tea),5822,29,30,40,42,45,15,59,0.000%,11.90897,299.53,29.92
View cart (Green tea),5822,24,24,33,35,38,14,49,0.000%,11.90900,288.64,14.36
Browse (Herbal tea),5812,41,42,47,49,51,33,63,0.000%,11.90727,1769.27,14.35
Add to cart (Herbal tea),5812,30,31,41,43,47,15,68,0.000%,11.90727,307.59,32.77
View cart (Herbal tea),5812,25,25,35,37,40,14,65,0.000%,11.90718,295.31,15.74
Browse (White tea),5803,41,42,47,48,51,33,65,0.017%,11.89505,1315.33,15.72
Add to cart (White tea),5797,31,32,42,44,48,15,71,0.000%,11.89599,315.29,35.48
View cart (White tea),5797,25,26,36,38,41,14,51,0.017%,11.89594,301.62,17.08
"Browse (Black tea, 1) [0]",5794,41,42,47,48,50,16,56,0.035%,11.89369,1144.68,17.07
"Browse (Black tea, 2)",5788,41,42,47,48,51,33,65,0.000%,11.88660,1195.47,17.32
"Browse (Black tea, 3)",5779,41,42,47,48,50,33,62,0.000%,11.87675,1213.29,17.30
"Browse (Black tea, 1) [1]",5777,41,42,47,48,50,6,62,0.017%,11.88101,1143.56,17.30
Add to cart (Black tea),5775,32,33,44,46,50,16,66,0.000%,11.88162,322.83,38.11
View cart (Black tea),5775,26,26,37,39,42,14,57,0.017%,11.88125,307.84,18.41
Checkout,5756,23,25,31,32,35,13,41,0.000%,11.86149,163.44,39.83
Order,5756,14,15,18,18,20,11,34,0.000%,11.86151,149.27,18.13
Add order details,5753,250,240,288,292,297,33,305,0.052%,11.86712,121.23,34.87
Homepage [1],5750,14,15,17,18,19,11,35,0.000%,11.86798,111.90,12.63
Logout,5736,17,18,21,22,23,12,38,0.000%,11.85830,125.33,27.31
Homepage [2],5736,14,15,17,18,19,11,31,0.000%,11.85842,109.18,12.36
TOTAL,138977,38,31,46,50,267,6,305,0.007%,283.51486,12511.15,495.71
