Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,5836,13,11,39,1.86,0.000%,11.90734,118.27,5.65,10171.0
Login Action,5831,38,26,63,7.45,0.000%,11.90705,121.49,22.00,10448.0
Homepage [0],5831,14,11,45,2.09,0.000%,11.90802,112.12,12.60,9641.3
Browse (Green tea),5827,41,32,68,4.30,0.017%,11.90702,1230.00,12.84,105779.8
Add to cart (Green tea),5822,29,15,59,7.88,0.000%,11.90897,299.53,29.92,25755.0
View cart (Green tea),5822,24,14,49,6.60,0.000%,11.90900,288.64,14.36,24818.5
Browse (Herbal tea),5812,41,33,63,4.46,0.000%,11.90727,1769.27,14.35,152153.5
Add to cart (Herbal tea),5812,30,15,68,8.27,0.000%,11.90727,307.59,32.77,26452.0
View cart (Herbal tea),5812,25,14,65,6.98,0.000%,11.90718,295.31,15.74,25396.5
Browse (White tea),5803,41,33,65,4.32,0.017%,11.89505,1315.33,15.72,113232.2
Add to cart (White tea),5797,31,15,71,8.55,0.000%,11.89599,315.29,35.48,27140.0
View cart (White tea),5797,25,14,51,7.17,0.017%,11.89594,301.62,17.08,25963.7
"Browse (Black tea, 1) [0]",5794,41,16,56,4.22,0.035%,11.89369,1144.68,17.07,98552.5
"Browse (Black tea, 2)",5788,41,33,65,4.30,0.000%,11.88660,1195.47,17.32,102987.1
"Browse (Black tea, 3)",5779,41,33,62,4.25,0.000%,11.87675,1213.29,17.30,104608.5
"Browse (Black tea, 1) [1]",5777,41,6,62,4.29,0.017%,11.88101,1143.56,17.30,98560.9
Add to cart (Black tea),5775,32,16,66,8.85,0.000%,11.88162,322.83,38.11,27823.0
View cart (Black tea),5775,26,14,57,7.38,0.017%,11.88125,307.84,18.41,26531.5
Checkout,5756,23,13,41,5.64,0.000%,11.86149,163.44,39.83,14109.5
Order,5756,14,11,34,2.24,0.000%,11.86151,149.27,18.13,12886.4
Add order details,5753,250,33,305,21.09,0.052%,11.86712,121.23,34.87,10461.1
Homepage [1],5750,14,11,35,2.05,0.000%,11.86798,111.90,12.63,9655.2
Logout,5736,17,12,38,2.92,0.000%,11.85830,125.33,27.31,10823.0
Homepage [2],5736,14,11,31,2.00,0.000%,11.85842,109.18,12.36,9427.6
TOTAL,138977,38,6,305,45.83,0.007%,283.51486,12511.15,495.71,45187.8
