Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,54643,1,1,7,0.52,0.000%,179.19204,1595.58,25.02,9118.0
Login,54643,8,2,16,0.74,0.002%,179.19322,1828.30,177.10,10447.8
List Products,54642,5,3,52,2.20,0.000%,179.19640,20788.19,134.20,118792.0
Look at Product,54642,9,1,69,3.92,0.005%,179.20404,20007.05,132.04,114323.4
Add Product to Cart,54639,9,5,57,3.41,0.000%,179.20596,4913.70,302.76,28077.3
List Products with different page,54639,5,3,59,1.46,0.000%,179.20890,20776.16,156.19,118715.0
Add Product 2 to Cart,54639,10,1,70,3.66,0.009%,179.21125,5033.70,345.18,28762.2
Logout,54634,3,2,9,0.57,0.002%,179.20072,1893.81,317.76,10821.7
TOTAL,437121,6,1,70,3.97,0.002%,1433.45150,76827.84,1590.03,54882.7
