Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,43058,7,1,39,3.16,0.007%,142.66639,1270.28,19.92,9117.6
List Products,43055,18,3,124,8.82,0.000%,142.68576,16495.32,23.55,118380.5
Look at Product,43055,36,6,134,13.88,0.000%,142.67678,16623.54,21.84,119308.2
Login,43055,17,6,58,4.05,0.002%,142.66496,1381.98,57.79,9919.4
Add Product to Cart,43054,14,3,60,4.64,0.000%,142.66684,1474.54,56.95,10583.6
Add n Products to Cart,645556,14,2,95,4.66,0.006%,2139.16807,22107.54,853.91,10582.7
Logout,43017,9,2,41,3.51,0.005%,142.57542,1427.11,54.02,10249.7
Checkout 1,43015,9,2,37,3.34,0.009%,142.56974,1442.95,86.74,10363.9
Checkout 5,43011,9,2,38,3.43,0.002%,142.55790,1443.10,103.58,10365.8
Checkout 15,43010,9,2,38,3.40,0.005%,142.55553,1442.85,142.55,10364.2
TOTAL,1032886,14,1,134,7.49,0.005%,3422.31676,65099.16,1420.63,19478.5
