Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,41714,59,3,243,20.086,0.048%,122.741,1194.751,18.479,9250.163
Login,40538,103,1,332,25.319,0.097%,125.475,1361.491,99.714,10790.378
List Products,39704,178,8,608,48.516,0.529%,128.054,14388.363,65.769,119579.313
Look at Product,40418,320,14,838,65.062,0.345%,124.863,14333.672,61.866,110395.896
Add Product to Cart,40705,322,8,589,46.013,0.370%,128.902,3443.688,188.82,27282.558
List Products with different page,40664,165,1,608,43.617,0.254%,131.58,15431.565,111.657,119653.118
Add Product 2 to Cart,40598,320,16,615,50.459,0.292%,126.08,3530.432,242.619,27989.649
Logout,40706,77,4,276,22.821,0.477%,122.124,1319.578,227.77,11069.364
TOTAL,326925,188,1,835,115.24,0.344%,991.803,56176.994,958.924,54507.342
