Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,41723,56,3,233,18.855,0.012%,135.128,1227.163,20.414,9250.163
Login,41718,96,1,321,23.217,0.044%,135.114,1431.351,102.767,10790.378
List Products,41700,162,7,563,44.334,0.032%,135.061,15856.034,67.997,119579.313
Look at Product,41687,299,13,767,63.128,0.126%,135.022,14634.107,66.243,110395.896
Add Product to Cart,41634,293,8,537,45.041,0.124%,134.858,3612.192,192.954,27282.558
List Products with different page,41583,160,1,580,41.224,0.036%,134.699,15823.271,115.47,119653.118
Add Product 2 to Cart,41567,309,15,585,46.465,0.066%,134.654,3700.209,256.102,27989.649
Logout,41540,71,4,271,22.278,0.046%,134.573,1462.468,235.597,11069.364
TOTAL,333151,181,1,767,107.805,0.061%,1078.962,57739.105,1057.353,54507.342
