Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,2031,1,1,5,0.57,0.000%,6.60956,65.65,3.14,10171.0
Login Action,2027,7,6,12,0.69,0.000%,6.60246,67.37,12.20,10448.0
Homepage [0],2027,1,1,7,0.57,0.000%,6.60258,62.17,6.99,9642.6
Browse (Green tea),2025,4,3,25,1.02,0.000%,6.60379,682.31,7.12,105800.2
Add to cart (Green tea),2024,8,6,30,3.21,0.000%,6.60277,184.41,16.59,28599.0
View cart (Green tea),2024,6,4,29,2.70,0.000%,6.60290,178.38,7.96,27663.1
Browse (Herbal tea),2022,4,3,25,1.11,0.000%,6.62414,984.27,7.99,152155.0
Add to cart (Herbal tea),2019,8,6,50,3.45,0.000%,6.62393,189.46,18.23,29289.0
View cart (Herbal tea),2019,7,4,41,2.99,0.000%,6.62389,182.64,8.76,28234.6
Browse (White tea),2017,4,3,25,0.99,0.000%,6.63258,733.56,8.77,113253.2
Add to cart (White tea),2016,9,6,32,3.42,0.000%,6.62718,194.01,19.77,29977.0
View cart (White tea),2016,7,5,47,3.31,0.000%,6.62713,186.42,9.52,28804.6
"Browse (Black tea, 1) [0]",2015,4,3,24,0.91,0.000%,6.62986,638.30,9.52,98586.9
"Browse (Black tea, 2)",2014,4,3,36,1.50,0.000%,6.62851,666.67,9.66,102989.4
"Browse (Black tea, 3)",2007,4,3,25,1.08,0.000%,6.61152,675.43,9.63,104611.5
"Browse (Black tea, 1) [1]",2005,4,3,26,1.38,0.000%,6.61081,636.43,9.63,98581.0
Add to cart (Black tea),2004,9,6,51,3.35,0.000%,6.62081,198.24,21.24,30661.0
View cart (Black tea),2004,7,5,49,3.27,0.000%,6.62081,189.93,10.26,29374.8
Checkout,1992,5,4,10,0.78,0.000%,6.59382,90.86,22.14,14110.8
Order,1992,2,1,5,0.51,0.000%,6.59391,82.99,10.08,12888.2
Add order details,1986,11,9,35,1.80,0.000%,6.58674,67.32,19.37,10465.3
Homepage [1],1986,1,1,7,0.53,0.000%,6.58689,62.11,7.01,9656.2
Logout,1981,2,2,9,0.63,0.000%,6.58168,69.56,15.17,10823.0
Homepage [2],1981,1,1,7,0.51,0.000%,6.58164,60.60,6.87,9429.2
TOTAL,48234,5,1,51,3.47,0.000%,156.88915,7077.38,274.31,46193.4
