Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,2640,3,3,7,7,8,1,21,0.000%,13.02295,129.35,6.18
Login Action,2637,18,17,31,33,34,5,50,0.000%,13.01515,132.80,24.05
Homepage [0],2637,3,3,7,8,9,1,32,0.000%,13.01554,122.54,13.77
Browse (Green tea),2626,10,10,18,19,22,2,30,0.000%,12.96688,1339.71,13.99
Add to cart (Green tea),2622,19,18,32,34,38,5,54,0.000%,12.96127,325.99,32.57
View cart (Green tea),2622,13,11,25,27,30,3,38,0.000%,12.96159,314.15,15.63
Browse (Herbal tea),2613,11,11,19,20,23,2,39,0.000%,12.95174,1924.46,15.61
Add to cart (Herbal tea),2608,20,20,34,36,39,5,51,0.000%,12.95450,334.64,35.65
View cart (Herbal tea),2608,13,12,27,28,31,4,38,0.000%,12.95296,321.25,17.12
Browse (White tea),2602,10,11,18,19,22,2,28,0.000%,12.96566,1433.96,17.13
Add to cart (White tea),2596,20,19,34,37,40,5,47,0.039%,12.95933,343.35,38.63
View cart (White tea),2595,14,11,28,30,33,4,38,0.000%,12.95822,328.61,18.61
"Browse (Black tea, 1) [0]",2595,10,10,18,19,21,2,30,0.000%,12.95861,1247.59,18.61
"Browse (Black tea, 2)",2592,10,10,18,19,22,2,30,0.000%,12.96901,1304.34,18.90
"Browse (Black tea, 3)",2584,10,11,18,19,22,2,29,0.000%,12.95992,1323.95,18.88
"Browse (Black tea, 1) [1]",2580,10,11,18,20,22,3,33,0.000%,12.96059,1247.67,18.87
Add to cart (Black tea),2580,21,21,36,38,41,5,62,0.000%,12.98133,352.71,41.64
View cart (Black tea),2580,15,13,29,31,34,4,40,0.000%,12.98192,336.41,20.12
Checkout,2554,13,13,22,24,26,3,36,0.039%,12.85652,177.09,43.16
Order,2553,4,4,8,9,10,1,25,0.000%,12.85395,161.76,19.64
Add order details,2549,24,24,37,39,43,10,49,0.000%,12.85737,131.40,37.80
Homepage [1],2549,3,3,7,8,9,1,14,0.000%,12.85783,121.23,13.68
Logout,2540,6,7,12,12,14,1,31,0.000%,12.83282,135.63,29.55
Homepage [2],2540,4,4,8,8,9,1,23,0.000%,12.83250,118.15,13.38
TOTAL,62202,12,9,27,32,37,1,62,0.003%,306.77346,13557.18,535.86
