Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,405,1,1,7,0.62,0.000%,1.32136,13.12,0.63,10171.0
Login Action,405,7,6,13,0.80,0.000%,1.32101,13.48,2.44,10448.0
Homepage [0],405,1,1,6,0.54,0.000%,1.32104,12.44,1.40,9642.8
Browse (Green tea),404,4,3,13,0.94,0.000%,1.32322,136.72,1.43,105800.5
Add to cart (Green tea),404,8,6,30,3.36,0.000%,1.32380,36.97,3.33,28599.0
View cart (Green tea),404,6,4,11,0.96,0.000%,1.32383,35.76,1.60,27662.1
Browse (Herbal tea),402,4,3,24,1.31,0.000%,1.31876,195.95,1.59,152153.8
Add to cart (Herbal tea),401,9,6,31,3.79,0.000%,1.31911,37.73,3.63,29289.0
View cart (Herbal tea),401,7,5,28,3.58,0.000%,1.31914,36.37,1.74,28234.7
Browse (White tea),401,4,3,24,1.20,0.000%,1.32288,146.31,1.75,113253.5
Add to cart (White tea),401,9,7,34,3.27,0.000%,1.32218,38.71,3.94,29977.0
View cart (White tea),401,7,5,47,4.04,0.000%,1.32218,37.19,1.90,28805.7
"Browse (Black tea, 1) [0]",401,4,3,8,0.74,0.000%,1.32347,127.42,1.90,98587.5
"Browse (Black tea, 2)",401,4,3,9,0.80,0.000%,1.32366,133.13,1.93,102989.8
"Browse (Black tea, 3)",400,4,3,10,0.78,0.000%,1.32151,135.00,1.93,104610.5
"Browse (Black tea, 1) [1]",400,4,3,25,1.44,0.000%,1.32240,127.31,1.93,98580.7
Add to cart (Black tea),399,9,6,31,3.29,0.000%,1.32098,39.55,4.24,30661.0
View cart (Black tea),399,7,5,49,3.57,0.000%,1.32099,37.89,2.05,29374.3
Checkout,398,5,4,11,0.82,0.000%,1.31855,18.17,4.43,14110.1
Order,398,2,1,4,0.52,0.000%,1.31858,16.60,2.02,12888.0
Add order details,396,12,9,32,1.58,0.000%,1.31474,13.44,3.87,10465.3
Homepage [1],396,1,1,5,0.51,0.000%,1.31479,12.40,1.40,9654.6
Logout,395,2,2,7,0.63,0.000%,1.31601,13.91,3.03,10823.0
Homepage [2],395,1,1,4,0.49,0.000%,1.31602,12.12,1.37,9428.7
TOTAL,9612,5,1,49,3.51,0.000%,31.29568,1410.86,54.72,46163.5
