Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,357,2504,901,19982,5154.06,1.961%,1.22537,10.86,0.17,9076.6
List Products,357,3711,0,21825,4342.66,1.961%,1.22202,136.69,0.20,114543.3
Look at Product,357,4243,0,5514,666.03,1.961%,1.28122,138.75,0.19,110893.9
Login,357,1666,1606,2947,127.54,0.000%,1.27387,12.34,0.52,9920.9
Add Product to Cart,357,1809,100,2206,260.57,1.961%,1.27900,13.12,0.51,10502.6
Add n Products to Cart,4947,1768,74,2107,248.50,3.133%,17.51715,178.37,6.91,10426.8
Logout,307,1209,1202,1305,22.68,0.000%,1.17417,11.75,0.44,10250.0
Checkout 1,307,1210,1202,1306,24.08,0.000%,1.17461,11.89,0.71,10366.0
Checkout 5,307,1215,1202,1305,32.13,0.000%,1.17462,11.89,0.85,10366.0
Checkout 15,307,1208,1202,1401,20.15,0.000%,1.17462,11.89,1.17,10366.0
TOTAL,7960,1911,0,21825,1611.20,2.299%,26.11900,497.60,10.61,19508.5
