Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage [0],89894,129,106,240,299,431,1,937,0.038%,233.65234,2079.95,110.85
Browse (Green tea),89758,139,116,250,308,438,2,1155,0.049%,233.36618,23980.36,115.49
Browse (Herbal tea),89569,141,117,252,309,438,2,1161,0.049%,233.05778,34488.65,116.24
Browse (White tea),89400,140,116,251,308,441,3,1038,0.045%,232.76158,25607.81,116.10
"Browse (Black tea, 1) [0]",89324,147,124,259,316,445,2,1047,0.057%,232.57037,22254.66,115.99
"Browse (Black tea, 2)",89218,144,121,256,313,445,3,1175,0.050%,232.43357,23241.92,120.92
"Browse (Black tea, 3)",89079,145,121,256,315,446,2,1062,0.048%,232.16399,23583.70,120.78
"Browse (Black tea, 1) [1]",89004,148,125,260,316,444,2,1079,0.053%,232.08465,22209.10,120.74
Homepage [1],88957,131,107,240,296,426,1,1053,0.037%,231.96996,2064.99,110.05
Homepage [2],88924,131,107,240,297,428,1,910,0.034%,231.88391,2063.65,108.89
TOTAL,893127,139,116,250,308,439,1,1175,0.046%,2321.40824,181246.31,1153.80
