Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Homepage [0],89894,129,1,937,83.49,0.038%,233.65234,2079.95,110.85,9115.6
Browse (Green tea),89758,139,2,1155,84.70,0.049%,233.36618,23980.36,115.49,105224.7
Browse (Herbal tea),89569,141,2,1161,84.86,0.049%,233.05778,34488.65,116.24,151534.8
Browse (White tea),89400,140,3,1038,84.51,0.045%,232.76158,25607.81,116.10,112657.8
"Browse (Black tea, 1) [0]",89324,147,2,1047,84.71,0.057%,232.57037,22254.66,115.99,97986.5
"Browse (Black tea, 2)",89218,144,3,1175,84.65,0.050%,232.43357,23241.92,120.92,102393.7
"Browse (Black tea, 3)",89079,145,2,1062,84.54,0.048%,232.16399,23583.70,120.78,104020.1
"Browse (Black tea, 1) [1]",89004,148,2,1079,84.28,0.053%,232.08465,22209.10,120.74,97990.6
Homepage [1],88957,131,1,1053,82.17,0.037%,231.96996,2064.99,110.05,9115.6
Homepage [2],88924,131,1,910,82.56,0.034%,231.88391,2063.65,108.89,9113.1
TOTAL,893127,139,1,1175,84.30,0.046%,2321.40824,181246.31,1153.80,79949.8
