Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,140,946,902,1608,135.65,0.000%,.47314,4.21,0.07,9118.0
Login,140,1662,1608,2012,95.24,0.000%,.47314,4.83,0.47,10448.0
List Products,140,2715,2307,3111,203.34,0.000%,.47182,56.07,0.35,121689.5
Look at Product,140,4382,1729,5823,522.55,5.000%,.47341,52.71,0.33,114013.5
Add Product to Cart,133,4223,62,5321,505.39,2.256%,.45734,12.68,0.76,28395.8
List Products with different page,130,2730,2307,3109,179.40,0.000%,.47535,56.65,0.41,122029.1
Add Product 2 to Cart,130,4467,4313,4921,132.76,0.000%,.47222,13.68,0.91,29655.0
Logout,130,1212,1203,1306,25.97,0.000%,.47797,5.05,0.85,10823.0
TOTAL,1083,2783,62,5823,1379.64,0.923%,3.58760,196.17,3.90,55992.8
